Timestamp,Sensor Value
2025-02-22 21:13:54.756,0
2025-02-22 21:13:54.758,0
2025-02-22 21:13:54.762,0
2025-02-22 21:13:54.762,0
2025-02-22 21:13:54.764,0
2025-02-22 21:13:54.765,0
2025-02-22 21:13:54.765,0
2025-02-22 21:13:54.766,0
2025-02-22 21:13:54.770,0
2025-02-22 21:13:54.771,0
2025-02-22 21:13:54.772,0
2025-02-22 21:13:54.774,0
2025-02-22 21:13:54.774,0
2025-02-22 21:13:54.775,0
2025-02-22 21:13:54.777,0
2025-02-22 21:13:54.778,0
2025-02-22 21:13:54.779,0
2025-02-22 21:13:54.779,0
2025-02-22 21:13:54.780,0
2025-02-22 21:13:54.780,0
2025-02-22 21:13:54.781,0
2025-02-22 21:13:54.782,0
2025-02-22 21:13:54.783,0
2025-02-22 21:13:54.783,0
2025-02-22 21:13:54.784,0
2025-02-22 21:13:54.785,0
2025-02-22 21:13:54.785,0
2025-02-22 21:13:54.787,0
2025-02-22 21:13:54.788,0
2025-02-22 21:13:54.789,0
2025-02-22 21:13:54.790,0
2025-02-22 21:13:54.791,0
2025-02-22 21:13:54.791,0
2025-02-22 21:13:54.792,0
2025-02-22 21:13:54.793,0
2025-02-22 21:13:54.793,0
2025-02-22 21:13:54.794,0
2025-02-22 21:13:54.795,0
2025-02-22 21:13:54.796,0
2025-02-22 21:13:54.796,0
2025-02-22 21:13:54.797,0
2025-02-22 21:13:54.798,0
2025-02-22 21:13:54.798,0
2025-02-22 21:13:54.799,0
2025-02-22 21:13:54.799,0
2025-02-22 21:13:54.800,0
2025-02-22 21:13:54.800,0
2025-02-22 21:13:54.801,0
2025-02-22 21:13:54.802,0
2025-02-22 21:13:54.802,0
2025-02-22 21:13:54.804,0
2025-02-22 21:13:54.805,0
2025-02-22 21:13:54.806,0
2025-02-22 21:13:54.808,0
2025-02-22 21:13:54.808,0
2025-02-22 21:13:54.809,0
2025-02-22 21:13:54.810,0
2025-02-22 21:13:54.811,0
2025-02-22 21:13:54.812,0
2025-02-22 21:13:54.813,0
2025-02-22 21:13:54.814,0
2025-02-22 21:13:54.815,0
2025-02-22 21:13:54.816,0
2025-02-22 21:13:54.817,0
2025-02-22 21:13:54.818,0
2025-02-22 21:13:54.820,0
2025-02-22 21:13:54.821,0
2025-02-22 21:13:54.823,0
2025-02-22 21:13:54.823,0
2025-02-22 21:13:54.824,0
2025-02-22 21:13:54.824,0
2025-02-22 21:13:54.825,0
2025-02-22 21:13:54.826,0
2025-02-22 21:13:54.826,0
2025-02-22 21:13:54.827,0
2025-02-22 21:13:54.827,0
2025-02-22 21:13:54.828,0
2025-02-22 21:13:54.828,0
